,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-01-03,72668200.0,5624100.0,40575900.0,30618800.0,54644700.0,56865800.0,934179500.0,66000000.0,25841400.0,734300000.0,9845000.0,2681800.0,13194000.0,9014400.0,18043600.0,5602900.0,1654075.0,556500.0,29900.0,130200.0,33071628362,12080777893,33860400.0,27744600.0,5301700.0
2022-01-04,71178700.0,5462200.0,58027200.0,22013100.0,77540000.0,75187400.0,934179500.0,66000000.0,32585300.0,1760100000.0,5330700.0,1985000.0,9363000.0,6965600.0,12946900.0,4857000.0,1883425.0,755100.0,16200.0,98400.0,42494677905,14030925983,21996400.0,15911800.0,2759300.0
2022-01-05,104538900.0,7638000.0,75739800.0,40582100.0,0.0,68244500.0,707511200.0,78600000.0,29744700.0,2768900000.0,6928300.0,3650200.0,12110000.0,8715600.0,22571400.0,5043500.0,1519400.0,1111200.0,19300.0,159300.0,36851084859,18061338502,20911700.0,13715700.0,2851800.0
2022-01-06,86858900.0,7019800.0,70814300.0,39105900.0,89793800.0,75756700.0,843728700.0,71600000.0,32675500.0,1765800000.0,5974500.0,1866800.0,7920600.0,10902700.0,27161100.0,4954400.0,1467700.0,523800.0,44800.0,130900.0,30208048289,24293791313,18996400.0,10957400.0,3526800.0
2022-01-07,85111600.0,5806300.0,72652300.0,31583900.0,78597800.0,74469300.0,705191000.0,75200000.0,31689000.0,2602300000.0,6999300.0,1714200.0,7883300.0,8191900.0,23522200.0,6023600.0,1744025.0,445500.0,23200.0,139400.0,84196607520,24494179209,18756800.0,13318200.0,2658000.0
2022-01-10,119362000.0,8091800.0,91770500.0,45778100.0,80610700.0,82834300.0,1047171300.0,74450000.0,31296700.0,2544900000.0,6571900.0,2285800.0,10109200.0,7026500.0,17015100.0,3758000.0,2742900.0,714500.0,18400.0,75700.0,32104232331,19535744145,13775800.0,8430700.0,4347300.0
2022-01-11,74303100.0,7310900.0,68295700.0,35209900.0,71633500.0,74622100.0,727102400.0,73700000.0,26401700.0,2331500000.0,5568500.0,1599600.0,7339300.0,8369000.0,23681500.0,6841500.0,1809300.0,830000.0,51800.0,64500.0,26327648900,15211447193,24388700.0,8086500.0,15869300.0
2022-01-12,67605400.0,4493200.0,54576400.0,35284500.0,85271800.0,69357000.0,873805500.0,72500000.0,39871000.0,2489500000.0,4331700.0,1990400.0,5936600.0,6280700.0,23394800.0,5171600.0,4718575.0,1310300.0,9400.0,289300.0,33499938689,16662871689,14440600.0,7996500.0,7286200.0
2022-01-13,91173100.0,6418100.0,77994000.0,34489600.0,81834900.0,72976100.0,776326000.0,69900000.0,31408300.0,2160500000.0,3921700.0,2190800.0,6922600.0,7034200.0,25395100.0,4680700.0,3431800.0,626000.0,33400.0,154100.0,47691135082,15294466275,15166000.0,8431100.0,3739100.0
2022-01-14,95890900.0,8575400.0,80121200.0,42020900.0,79772300.0,80457700.0,790074900.0,82100000.0,34933600.0,1840000000.0,6465300.0,1882800.0,12194800.0,7865900.0,22448800.0,6031200.0,1521025.0,778800.0,14600.0,132300.0,23577403399,13562957230,22997500.0,10595700.0,2064800.0
